Ulasan
pesan sesuai yg gambar
kirim respon super cepat tpi barang sesuai gambar kuat tembus jok motor
barang yg kirim sesuai pesan
php bilang isi skripsi pas sen beda mubajir rp50 000 isi ga cocok
barang jelek copot 34 tmpat taro isi
beli staples gak jual isi pake ckckck
ngirim barang periksa gan kondisi barang layak gak gitu loh isi karat semua
produk sesuai order prohex yg kirim
barang sdh terima
masang jok gak pake
barang cacat gak harus sblum kirim coba
kecewa dipakey isiya kluar 2 3 buah papan nggak nempel
barang bagus kirim pakai pos sekali
hasil staples rapat bidang produk cacat hadeeuh
barang standart aja bagus 
barang rusak kecewa berat
beli 5 bs pakai
straples gk bs dipake udh coba berkali2 bwt pasang jaring nyamuk straples tembak bah triplek aja gk nembus udh diketok2 palu lgi 
harga juga susah dipake hehe staples gak nancep sampe oenuh
gagal
ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff
seller komunikatif niat pake instant courier biar sampai tp barang kirim 2 kabar sekali ga berani balas udah ngajuin batal tetep aja kirim dosa moga ga yg buyer dapet laku kyk gin
barang kayak bekas gan tapi kirim ceoat
barang yg gak sesuai buset banget kirim kapok
model brang sdh sesuai deskripsi ukur 44nya ndak sesuai ya ukur sesuai ukur tinggi spatunya kyk ukur kaki no 40 aku kasih foto sepatu yg coba pakai
rekomen  kaki masuk sepatu sablon kualitas not ok
sepatu retur kualitas bahan kanan kiri beda tebelnya beda tinggi beda
brng sy pesan uang sy transfr tp brmg sy trima jgn pesan pke wahana cargo ad solusi dr toped ut mngembalikan uang
sesuai minta warna pas tanya ngaku2nya udh chat ga jawab pdhl ga chat 
suckkkk
produk bagus qc kurang pipa beda ukur 1batang 2 rak yg pasang
kecewa karna acc lengkap
sesuai expektasi cacat konektor milik tiang imbang
1 yg
dibatalin udah ajuin batal kirim udah konfirmasi ukur model salah 
kotak rusak lem sepatu gk bngt
sesuai kasi liat
respon lambat kirim barang kirim sesuai  kecewa
klem gak nih kualitas barang buruk lem gak nempel ngelupas jujur kecewa
kirim lama proses lamaaaa
teliti lg gan ngasih informasi
order tanggal 19 pake jne yes baru sampe tanggal 25 salah mana
barang jelek bgt  kasih org malu  foto bagus produk asli nya saya beli
sesuai gambar gambar comot google
lupa tulis ukur jual ga nanya ukur yg kirim ukur 40 retur 42  jual cuman bilang iya doang ga action udah bulan ga proses parah tokpedia lanjut dana jual ikut proses komplian sesuai tunjuk tokped benar 39 39 harga customer
sen warna yg kirim warna b nga ssuai klw dlam sen abis gtu ukuranya kcill
